geoid,zone,epsg
14000US06079010701,10S,32610
14000US06079010707,10S,32610
14000US06079010602,10S,32610
14000US06079010603,10S,32610
14000US06079990000,10S,32610
14000US06079010503,10S,32610
14000US06083002205,10S,32610
14000US06083002303,10S,32610
14000US06083002305,10S,32610
14000US06083002210,10S,32610
14000US06083002306,10S,32610
14000US06083002209,10S,32610
14000US06079012402,10S,32610
14000US06079012401,10S,32610
14000US06079012304,10S,32610
14000US06079012302,10S,32610
14000US06079012302,11S,32611
14000US06079011901,10S,32610
14000US06079012200,10S,32610
14000US06079011902,10S,32610
14000US06079012000,10S,32610
14000US06079012102,10S,32610
14000US06079011800,10S,32610
14000US06079011704,10S,32610
14000US06079011701,10S,32610
14000US06079011600,10S,32610
14000US06079012702,10S,32610
14000US06079012702,11S,32611
14000US06079011503,10S,32610
14000US06079011501,10S,32610
14000US06079011103,10S,32610
14000US06079011102,10S,32610
14000US06079011300,10S,32610
14000US06079011001,10S,32610
14000US06079011504,10S,32610
14000US06079011101,10S,32610
14000US06029003304,10S,32610
14000US06029003304,11S,32611
14000US06079011002,10S,32610
14000US06079011200,10S,32610
14000US06079010902,10S,32610
14000US06079010901,10S,32610
14000US06079010703,10S,32610
14000US06079011400,10S,32610
14000US06083002907,10S,32610
14000US06083002907,11S,32611
14000US06083002932,10S,32610
14000US06083002932,11S,32611
14000US06083003102,10S,32610
14000US06083001906,10S,32610
14000US06083001906,11S,32611
14000US06083001903,10S,32610
14000US06083001903,11S,32611
14000US06083002708,10S,32610
14000US06083002707,10S,32610
14000US06083002702,10S,32610
14000US06083002703,10S,32610
14000US06083002705,10S,32610
14000US06083002706,10S,32610
14000US06083002806,10S,32610
14000US06083002802,10S,32610
14000US06083002604,10S,32610
14000US06083002809,10S,32610
14000US06083002606,10S,32610
14000US06083001905,10S,32610
14000US06083001905,11S,32611
14000US06083002808,10S,32610
14000US06083001901,10S,32610
14000US06083001901,11S,32611
14000US06083001800,10S,32610
14000US06083001800,11S,32611
14000US06083002005,10S,32610
14000US06083002012,10S,32610
14000US06083002009,10S,32610
14000US06083002010,10S,32610
14000US06083002013,10S,32610
14000US06083002008,10S,32610
14000US06083002006,10S,32610
14000US06083002011,10S,32610
14000US06083002007,10S,32610
14000US06083002502,10S,32610
14000US06083002103,10S,32610
14000US06083002402,10S,32610
14000US06083002102,10S,32610
14000US06083002404,10S,32610
14000US06083002101,10S,32610
14000US06083002403,10S,32610
14000US06083002211,10S,32610
14000US06083002206,10S,32610
14000US06083002304,10S,32610
14000US06083002928,10S,32610
14000US06083002928,11S,32611
14000US06083002924,10S,32610
14000US06083002924,11S,32611
14000US06083002926,10S,32610
14000US06083002926,11S,32611
14000US06083002915,10S,32610
14000US06083002915,11S,32611
14000US06083002922,10S,32610
14000US06083002922,11S,32611
14000US06083002930,10S,32610
14000US06083002930,11S,32611
14000US06083980000,10S,32610
14000US06083980000,11S,32611
14000US06083002909,10S,32610
14000US06083002909,11S,32611
14000US06083002906,10S,32610
14000US06083002906,11S,32611
14000US06083990000,10S,32610
14000US06083990000,11S,32611
14000US06097153807,10S,32610
14000US06055202000,10S,32610
14000US06097153902,10S,32610
14000US06097153901,10S,32610
14000US06097154000,10S,32610
14000US06055201900,10S,32610
14000US06097154303,10S,32610
14000US06097153903,10S,32610
14000US06097154100,10S,32610
14000US06033001300,10S,32610
14000US06097154202,10S,32610
14000US06097154201,10S,32610
14000US06033001100,10S,32610
14000US06033001200,10S,32610
14000US06045011102,10S,32610
14000US06033000801,10S,32610
14000US06045011800,10S,32610
14000US06033000802,10S,32610
14000US06033000900,10S,32610
14000US06033000702,10S,32610
14000US06033000701,10S,32610
14000US06033001000,10S,32610
14000US06033000400,10S,32610
14000US06033000300,10S,32610
14000US06033000600,10S,32610
14000US06033000502,10S,32610
14000US06045011200,10S,32610
14000US06045011300,10S,32610
14000US06045011600,10S,32610
14000US06045011400,10S,32610
14000US06045011700,10S,32610
14000US06045011500,10S,32610
14000US06045011001,10S,32610
14000US06033000501,10S,32610
14000US06045010900,10S,32610
14000US06011000400,10S,32610
14000US06033000100,10S,32610
14000US06045010801,10S,32610
14000US06045011002,10S,32610
14000US06045010802,10S,32610
14000US06045990100,10S,32610
14000US06045990100,10T,32610
14000US06045010700,10S,32610
14000US06045010500,10S,32610
14000US06045010400,10S,32610
14000US06045010600,10S,32610
14000US06045010300,10S,32610
14000US06021010300,10S,32610
14000US06045010100,10S,32610
14000US06045010100,10T,32610
14000US06045010200,10S,32610
14000US06045010200,10T,32610
14000US06103000300,10S,32610
14000US06103000300,10T,32610
14000US06023011500,10S,32610
